"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Nov 20 12:05:26 IST 2023","Mon Nov 20 12:05:32 IST 2023","5677","Default Suite","SeleniumLearning","org.selenium.LoginPage","org.selenium.LoginPage","validUser","validUser",""
"passed","Fri Nov 10 22:29:45 IST 2023","Fri Nov 10 22:29:55 IST 2023","10322","All Test Suite","C:/Users/sachi/IdeaProjects/untitled1","org.selenium.ValidLogin","org.selenium.ValidLogin","openBrowser","openBrowser",""
"passed","Tue Nov 21 11:50:10 IST 2023","Tue Nov 21 11:50:23 IST 2023","13563","All Test Suite","C:/Users/sachi/IdeaProjects/SeleniumLearning","org.selenium.Selenium02","org.selenium.Selenium02","negative_TestCase","negative_TestCase","TC#1:Verify the error message with invalid username or password"
"passed","Tue Nov 21 14:20:10 IST 2023","Tue Nov 21 14:20:24 IST 2023","13454","All Test Suite","C:/Users/sachi/IdeaProjects/SeleniumLearning/src/test/java/org/selenium/HealthCare/Appointment.java","org.selenium.HealthCare.Appointment","org.selenium.HealthCare.Appointment","makeAppointment","makeAppointment",""
"passed","Fri Nov 10 22:16:10 IST 2023","Fri Nov 10 22:16:24 IST 2023","13985","Default Suite","untitled1","org.selenium.Invalid_Login","org.selenium.Invalid_Login","openBrowser","openBrowser",""
"passed","Tue Nov 21 12:22:26 IST 2023","Tue Nov 21 12:22:48 IST 2023","22298","Default Suite","SeleniumLearning","org.selenium.Verify_Dashboard","org.selenium.Verify_Dashboard","dashboard","dashboard","TC#2:Verify the dashboard page"
"passed","Fri Nov 10 22:29:55 IST 2023","Fri Nov 10 22:30:11 IST 2023","15360","All Test Suite","C:/Users/sachi/IdeaProjects/untitled1","org.selenium.Invalid_Login","org.selenium.Invalid_Login","invalidLogin","invalidLogin",""
"broken","Sat Nov 18 21:56:30 IST 2023","Sat Nov 18 21:56:30 IST 2023","0","Default Suite","untitled1","org.selenium.LoginPage","org.selenium.LoginPage","openBrowser","openBrowser",""
"passed","Fri Nov 10 21:48:43 IST 2023","Fri Nov 10 21:48:58 IST 2023","15422","Default Suite","untitled1","org.selenium.OpenBrowser","org.selenium.OpenBrowser","openBrowser","openBrowser",""
